id,formula,target,Ea (eV),space group,ICSD Entry,formula_preprocessed
429,LiEu9Si6O26,<1E-10,,176,291220,LiEu9Si6O26
430,LiAlSiO4,2.00E-09,0.68,181,55665,LiAlSiO4
431,Li3(NH2)2I,1.00E-05,0.58,186,167528,Li3(NH2)2I
432,Ba3LiTa5ZrSi4O26,<1E-10,0.79,189,239277,Ba3LiTa5ZrSi4O26
433,Li3N,1.20E-03,0.25,191,26540,Li3N
434,Li3N,3.00E-04,0.26,191,156894,Li3N
435,Fe2Na2K(Li3Si12O30),<1E-10,1.22,192,235750,Fe2Na2K(Li3Si12O30)
436,Li3P,7.03E-04,0.18,194,642223,Li3P
437,Li5.5K0.25La2.75Nb2O12,3.19E-03,0.49,199,,Li5.5K0.25La2.75Nb2O12
438,Li5.5La3Nb1.75In0.25O12,8.07E-03,0.49,199,,Li5.5La3Nb1.75In0.25O12
439,Li6BaLa2Nb2O12,6.00E-06,0.44,199,,Li6BaLa2Nb2O12
440,Li5La3Nb2O12,8.00E-06,0.43,199,54865,Li5La3Nb2O12
441,(K0.1Li0.9)(SbO3),1.36E-08,,201,200984,(K0.1Li0.9)(SbO3)
442,Li8GeP4,1.80E-05,0.435,205,235184,Li8GeP4
443,Li8SiP4,4.50E-05,0.404,205,235186,Li8SiP4
444,Li3AlN2,5.00E-08,0.45,206,257464,Li3AlN2
445,Li2MgTi3O8,<1E-10,0.71,212,86165,Li2MgTi3O8
446,Li2CoTi3O8,<1E-10,1.33,212,86166,Li2CoTi3O8
447,Li2CoGe3O8,<1E-10,1.49,212,86167,Li2CoGe3O8
448,Li2ZnGe3O8,<1E-10,2.14,212,86169,Li2ZnGe3O8
449,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,6.56E-10,0.685,212,168144,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4
450,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,1.53E-11,0.786,212,168145,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4
451,Li5NI2,4.00E-06,,216,16800,Li5NI2
452,Li2VCl4,6.95E-06,,216,74959,Li2VCl4
453,Li6PS5Cl0.25Br0.75,1.86E-03,0.328,216,,Li6PS5Cl0.25Br0.75
454,Li6PS5Cl,2.05E-03,0.452,216,259200,Li6PS5Cl
455,Li6PS5Cl0.5Br0.5,3.33E-03,0.367,216,259201,Li6PS5Cl0.5Br0.5
456,Li6PS5Br,1.15E-03,0.303,216,259202,Li6PS5Br
457,Li6PS5Br0.5I0.5,2.62E-05,0.312,216,259203,Li6PS5Br0.5I0.5
458,Li6PS5I,1.30E-06,0.383,216,259204,Li6PS5I
459,Li6PS5Cl0.75Br0.25,2.26E-03,0.408,216,259206,Li6PS5Cl0.75Br0.25
460,Li6PS5Br0.75I0.25,1.12E-04,0.321,216,259209,Li6PS5Br0.75I0.25
461,Li6PS5Br0.25I0.75,4.72E-06,0.351,216,259211,Li6PS5Br0.25I0.75
462,Li6PS5Br,7.01E-04,0.194,216,234584,Li6PS5Br
463,Li6.025P0.975Si0.025S5Br,8.78E-04,0.196,216,234585,Li6.025P0.975Si0.025S5Br
464,Li6.05P0.95Si0.05S5Br,4.37E-04,0.173,216,234586,Li6.05P0.95Si0.05S5Br
465,Li6.075P0.925Si0.075S5Br,8.73E-04,0.178,216,234587,Li6.075P0.925Si0.075S5Br
466,Li6.1P0.95Si0.1S5Br,7.99E-04,0.22,216,234588,Li6.1P0.95Si0.1S5Br
467,Li6.125P0.875Si0.125S5Br,9.02E-04,0.189,216,234589,Li6.125P0.875Si0.125S5Br
468,Li6.175P0.825Si0.175S5Br,9.31E-04,0.142,216,234591,Li6.175P0.825Si0.175S5Br
469,Li6.2P0.8Si0.2S5Br,1.69E-03,0.25,216,234592,Li6.2P0.8Si0.2S5Br
470,Li6.225P0.775Si0.225S5Br,1.08E-03,0.248,216,234593,Li6.225P0.775Si0.225S5Br
471,Li6.25P0.75Si0.25S5Br,1.41E-03,0.223,216,234594,Li6.25P0.75Si0.25S5Br
472,Li6.3P0.7Si0.3S5Br,1.65E-03,0.236,216,234595,Li6.3P0.7Si0.3S5Br
473,Li6.35P0.65Si0.35S5Br,2.34E-03,0.142,216,234596,Li6.35P0.65Si0.35S5Br
474,Li6.5P0.5Si0.5S5Br,2.19E-03,0.27,216,234597,Li6.5P0.5Si0.5S5Br
475,Li7Ge3PS12,1.10E-04,0.259,216,258187,Li7Ge3PS12
476,Li6B0.9PH3.6S4.9,1.80E-03,0.166,216,264526,Li6B0.9PH3.6S4.9
477,Li6PS5Cl,1.30E-03,0.33,216,,Li6PS5Cl
478,Li6PS5Br,2.77E-03,0.31,216,267193,Li6PS5Br
479,Li6P(S4.9Se0.1)Br,3.20E-03,0.33,216,267194,Li6P(S4.9Se0.1)Br
480,Li6P(S4.8Se0.2)Br,3.92E-03,0.34,216,267195,Li6P(S4.8Se0.2)Br
481,Li6P(S4.7Se0.3)Br,3.62E-03,0.33,216,267196,Li6P(S4.7Se0.3)Br
482,Li6P(S4.6Se0.4)Br,3.64E-03,0.33,216,267197,Li6P(S4.6Se0.4)Br
483,Li6P(S4.5Se0.5)Br,2.68E-03,0.34,216,267198,Li6P(S4.5Se0.5)Br
484,Li6P(S4.4Se0.6)Br,2.78E-03,0.34,216,267199,Li6P(S4.4Se0.6)Br
485,Li6P(S4.3Se0.7)Br,3.01E-03,0.35,216,267200,Li6P(S4.3Se0.7)Br
486,Li6P(S4.2Se0.8)Br,3.48E-03,0.34,216,267201,Li6P(S4.2Se0.8)Br
487,Li6P(S4.1Se0.9)Br,3.82E-03,0.34,216,267202,Li6P(S4.1Se0.9)Br
488,Li6P(S4Se)Br,3.61E-03,0.34,216,267203,Li6P(S4Se)Br
489,Li6PO5Cl,5.54E-10,0.66,216,421479,Li6PO5Cl
490,Li6PS5Br,3.20E-05,0.32,216,234598,Li6PS5Br
491,Li6PS5Cl,3.30E-05,0.38,216,259205,Li6PS5Cl
492,Li6PS5I,2.20E-04,0.26,216,259212,Li6PS5I
493,Li6PS5I,1.26E-06,0.38,216,,Li6PS5I
494,Li6P0.92Ge0.08S5I,9.02E-06,0.39,216,,Li6P0.92Ge0.08S5I
495,Li6P0.85Ge0.15S5I,3.99E-05,0.36,216,,Li6P0.85Ge0.15S5I
496,Li6P0.75Ge0.25S5I,3.26E-05,0.36,216,,Li6P0.75Ge0.25S5I
497,Li6P0.74Ge0.26S5I,1.51E-04,0.3,216,,Li6P0.74Ge0.26S5I
