,formula_unedited,formula,space group,target
110,Li6.8La3Zr1.8Ta0.2O12,Li6.8La3Zr1.8Ta0.2O12,230.0,-3.4045297782083606
111,Li6BaLa2Ta2O12,Li6BaLa2Ta2O12,230.0,-4.606112063109979
112,Li6CaLa2Ta2O12,Li6CaLa2Ta2O12,230.0,-5.657577319177793
113,Li6La3ZrSbO12,Li6La3ZrSbO12,230.0,-3.5850266520291822
114,Li6La3ZrTaO12,Li6La3ZrTaO12,230.0,-3.6565220158670106
115,Li6PS5Br,Li6PS5Br,216.0,-3.5527874703441014
116,Li6PS5Cl,Li6PS5Cl,216.0,-3.9846293877759393
117,Li6PS5I,Li6PS5I,216.0,-5.17296151876271
118,Li6SrLa2Ta2O12,Li6SrLa2Ta2O12,230.0,-5.192470053382839
119,Li7La3Zr2O12,Li7La3Zr2O12,142.0,-4.855764575782143
120,Li7P2.9Mn0.1S10.7I0.3,Li7P2.9Mn0.1S10.7I0.3,,-2.2518119729937998
121,Li7P3S11,Li7P3S11,2.0,-2.2287323252718587
122,Li7PS6,Li7PS6,,-4.945042068488103
123,Li8GeP4,Li8GeP4,205.0,-4.4051145218265635
124,Li9.81Sn0.81P2.19S12,Li9.81Sn0.81P2.19S12,137.0,-2.281203983873019
125,LiGe2(PO4)3,LiGe2P3O12,167.0,-7.442956035213096
126,LiHf2(PO4)3,LiHf2P3O12,167.0,-6.007093729209787
127,LiI,LiI,225.0,-7.025037020567475
128,LiPO3,LiPO3,13.0,-8.979303657420887
129,0.5(Li2S) 0.5(GeS2),LiS1.5Ge0.5,,-4.453637376305421
130,0.5Li2S-0.5SiS2,LiS1.5Si0.5,,-5.060050837834995
131,LiTi2(PO4)3,LiTi2P3O12,148.0,-4.972963568434689
132,LiZr2(PO4)3,LiZr2P3O12,167.0,-7.230192746046663
133,0.5 SiS2-0.5 Li2S,SiS3Li2,,-3.8723637474483468
0,LiAlSi3O8,LiAlSi3O8,2.0,-9.886056647693163
1,LiSn2(PO4)3,LiSn2P3O12,2.0,-8.6903698325741
2,Li7BiO6,Li7BiO6,2.0,-6.055517327849832
3,Li7SbO6,Li7SbO6,2.0,-7.173925197299173
6,LiV(PO4)F,LiVPO4F,2.0,-6.0915149811213505
7,Li2B3PO8,Li2B3PO8,2.0,-14.236572006437063
8,Li3BP2O8,Li3BP2O8,2.0,-11.017728766960431
9,Li2NaBP2O8,Li2NaBP2O8,2.0,-17.356547323513812
11,LiMgSO4F,LiMgSO4F,2.0,-7.267606240177032
12,Li6CuB4O10,Li6CuB4O10,2.0,-13.0
15,Li2ZnGeO4,Li2ZnGeO4,7.0,-7.0
21,Li3.25Ge0.25P0.75S4,Li3.25Ge0.25P0.75S4,11.0,-2.657577319177794
24,Li7.22Si1.5P0.5O8,Li7.22Si1.5P0.5O8,11.0,-6.785156151952302
25,Li4SiO4,Li4SiO4,11.0,-9.301029995663981
29,Li3.5Si0.5P05S4,Li3.5Si0.5P5S4,11.0,-3.779891911959945
36,Li3.5Si0.5P0.5S4,Li3.5Si0.5P0.5S4,11.0,-3.7931741239681505
40,Li3.1P0.9Si0.1O4,Li3.1P0.9Si0.1O4,11.0,-7.126679398184601
42,Li3.9P0.1Si0.9O4,Li3.9P0.1Si0.9O4,11.0,-7.701146923590294
43,Li3.7P0.3Si0.7O4,Li3.7P0.3Si0.7O4,11.0,-6.4156687756324695
44,Li3InCl6,Li3InCl6,12.0,-2.6903698325741012
45,Li2P2S6,Li2P2S6,12.0,-10.10790539730952
46,Li0.6[Li0.2Sn0.8S2],Li0.6Li0.2Sn0.8S2,12.0,-3.9208187539523753
47,Li3(Mo8S8O8(OH)8(HWO5(H2O)))*(H2O)18,Li3Mo8S8O16H6W,12.0,-6.42021640338319
48,Li17Sb13S28,Li17Sb13S28,12.0,-8.978810700930062
50,Li3YBr6,Li3YBr6,12.0,-2.7166987712964503
51,Li0.84Sn0.79S2,Li0.84Sn0.79S2,12.0,-3.9208187539523753
52,LiAlSi4O10,LiAlSi4O10,13.0,-9.995678626217357
54,LiGaBr4,LiGaBr4,14.0,-5.154901959985743
55,Li2SO4,Li2SO4,14.0,-13.853871964321762
56,Li3BO3,Li3BO3,14.0,-10.130768280269024
57,Li6Ge2O7,Li6Ge2O7,14.0,-6.070581074285707
58,LiAlCl4,LiAlCl4,14.0,-6.0
59,LiYO2,LiYO2,14.0,-7.7447274948966935
60,LiBO2,LiBO2,14.0,-8.0
61,LiClC3H7NO,LiClC3H7NO,14.0,-3.795880017344075
63,(La0.9Sr0.1)LiO2,La0.9Sr0.1LiO2,14.0,-9.201349354554731
64,La(Li0.76Mg0.08)O2,LaLi0.76Mg0.08O2,14.0,-9.138465589140962
65,Li2.5V2(PO4)3,Li2.5V2P3O12,14.0,-6.721246399047171
69,Li2ZrO3,Li2ZrO3,15.0,-9.214670164989233
70,Li6Zr2O7,Li6Zr2O7,15.0,-9.2839966563652
71,Li3AlF6,Li3AlF6,15.0,-6.301029995663981
72,Li2SnS3,Li2SnS3,15.0,-4.823908740944319
73,LiTa2PO8,LiTa2PO8,15.0,-2.795880017344075
74,LiBaP2O7,LiBaP2O7,15.0,-10.0
75,Li3Na5(TiS4)2,Li3Na5Ti2S8,15.0,-5.055517327849832
77,LiVO3,LiVO3,15.0,-8.688246138944246
79,Li3ErI6,Li3ErI6,15.0,-4.0034883278458215
81,Li3SbS4,Li3SbS4,31.0,-5.823908740944319
83,LiGaO2,LiGaO2,33.0,-13.619788758288394
84,LiB6O9F,LiB6O9F,33.0,-23.26760624017703
85,Li3SbS3,Li3SbS3,33.0,-7.0
86,LiSi2N3,LiSi2N3,36.0,-7.209714835966758
88,LiGa2GeS6,LiGa2GeS6,43.0,-7.42021640338319
89,La0.64Li0.08TiO3,La0.64Li0.08TiO3,47.0,-3.474955192963155
90,La0.62Li0.14TiO3,La0.62Li0.14TiO3,47.0,-3.354577730650908
91,La0.595Li0.215TiO3,La0.595Li0.215TiO3,47.0,-3.0690509688324767
92,Li0.4Na0.1La0.5Nb2O6,Li0.4Na0.1La0.5Nb2O6,47.0,-5.0034883278458215
93,Li0.3Na0.2La0.5Nb2O6,Li0.3Na0.2La0.5Nb2O6,47.0,-4.954677021213342
94,Li0.2Na0.3La0.5Nb2O6,Li0.2Na0.3La0.5Nb2O6,47.0,-4.928117992693875
95,Li0.1Na0.4La0.5Nb2O6,Li0.1Na0.4La0.5Nb2O6,47.0,-4.91721462968355
96,Li0.07Na0.43La0.5Nb2O6,Li0.07Na0.43La0.5Nb2O6,47.0,-4.910094888560602
97,Li0.04Na0.46La0.5Nb2O6,Li0.04Na0.46La0.5Nb2O6,47.0,-5.228412519118745
98,Li0.02Na0.48La0.5Nb2O6,Li0.02Na0.48La0.5Nb2O6,47.0,-5.399027104313252
99,(Ag0.33Li0.67)0.27La0.57TiO3,Ag0.08910000000000001Li0.18090000000000003La0.57TiO3,47.0,-4.0
100,(Ag0.5Li0.5)0.27La0.57TiO3,Ag0.135Li0.135La0.57TiO3,47.0,-4.638272163982407
101,(Ag0.67Li0.33)0.27La0.57TiO3,Ag0.18090000000000003Li0.08910000000000001La0.57TiO3,47.0,-6.698970004336019
102,Pr0.56Li0.34TiO3.01,Pr0.56Li0.34TiO3.01,47.0,-6.0
103,Nd0.55Li0.34TiO3,Nd0.55Li0.34TiO3,47.0,-6.096910013008056
